202.4455 	EXP 	Hampton2006: Action=1 State=0 Rewarded=False CorrectCount=1
202.4621 	EXP 	feedback
202.5790 	DATA 	Keypress: equal
203.5791 	DATA 	Keypress: equal
204.5792 	DATA 	Keypress: equal
205.4658 	EXP 	stim presentation for duration 1.000. feedback duration 3.000
205.5793 	DATA 	Keypress: equal
205.9732 	DATA 	Keypress: 2
205.9794 	EXP 	stim select
206.4660 	EXP 	Hampton2006: Action=0 State=0 Rewarded=True CorrectCount=2
206.4809 	EXP 	feedback
206.5793 	DATA 	Keypress: equal
207.5791 	DATA 	Keypress: equal
208.5792 	DATA 	Keypress: equal
209.4860 	EXP 	stim presentation for duration 2.000. feedback duration 3.000
209.5791 	DATA 	Keypress: equal
210.1288 	DATA 	Keypress: 2
210.1360 	EXP 	stim select
210.5792 	DATA 	Keypress: equal
211.4862 	EXP 	Hampton2006: Action=0 State=0 Rewarded=True CorrectCount=3
211.5003 	EXP 	feedback
211.5792 	DATA 	Keypress: equal
212.5793 	DATA 	Keypress: equal
213.5792 	DATA 	Keypress: equal
214.5071 	EXP 	stim presentation for duration 3.000. feedback duration 4.000
214.5790 	DATA 	Keypress: equal
215.5791 	DATA 	Keypress: equal
215.7616 	DATA 	Keypress: 2
215.7681 	EXP 	stim select
216.5794 	DATA 	Keypress: equal
217.5072 	EXP 	Hampton2006: Action=0 State=0 Rewarded=False CorrectCount=4
217.5185 	EXP 	feedback
217.5792 	DATA 	Keypress: equal
218.5791 	DATA 	Keypress: equal
219.5791 	DATA 	Keypress: equal
220.5790 	DATA 	Keypress: equal
221.5297 	EXP 	stim presentation for duration 1.000. feedback duration 4.000
221.5790 	DATA 	Keypress: equal
222.1425 	DATA 	Keypress: 1
222.1544 	EXP 	stim select
222.5304 	EXP 	Hampton2006: Action=0 State=0 Rewarded=False CorrectCount=5
222.5459 	EXP 	feedback
222.5802 	DATA 	Keypress: equal
223.5789 	DATA 	Keypress: equal
224.5791 	DATA 	Keypress: equal
225.5790 	DATA 	Keypress: equal
226.5496 	EXP 	stim presentation for duration 2.000. feedback duration 3.000
226.5792 	DATA 	Keypress: equal
227.5791 	DATA 	Keypress: equal
228.5579 	EXP 	no response
228.5780 	DATA 	Keypress: equal
229.5781 	DATA 	Keypress: equal
230.5782 	DATA 	Keypress: equal
231.5713 	EXP 	stim presentation for duration 2.000. feedback duration 3.000
231.5785 	DATA 	Keypress: equal
232.1433 	DATA 	Keypress: 1
232.1549 	EXP 	stim select
232.5785 	DATA 	Keypress: equal
233.5720 	EXP 	Hampton2006: Action=0 State=0 Rewarded=True CorrectCount=6
233.5784 	DATA 	Keypress: equal
233.5889 	EXP 	feedback
234.5780 	DATA 	Keypress: equal
235.5783 	DATA 	Keypress: equal
236.5780 	DATA 	Keypress: equal
236.5938 	EXP 	stim presentation for duration 3.000. feedback duration 2.000
237.5780 	DATA 	Keypress: equal
237.7274 	DATA 	Keypress: 2
237.7419 	EXP 	stim select
238.5782 	DATA 	Keypress: equal
239.5783 	DATA 	Keypress: equal
239.5940 	EXP 	Hampton2006: Action=0 State=0 Rewarded=False CorrectCount=7
239.6104 	EXP 	feedback
240.5781 	DATA 	Keypress: equal
241.5782 	DATA 	Keypress: equal
241.6289 	EXP 	stim presentation for duration 3.000. feedback duration 3.000
242.2240 	DATA 	Keypress: 1
242.2293 	EXP 	stim select
242.5782 	DATA 	Keypress: equal
243.5782 	DATA 	Keypress: equal
244.5788 	DATA 	Keypress: equal
244.6295 	EXP 	Hampton2006: Action=1 State=0 Rewarded=True CorrectCount=7
244.6479 	EXP 	feedback
245.5780 	DATA 	Keypress: equal
246.5780 	DATA 	Keypress: equal
247.5782 	DATA 	Keypress: equal
247.6660 	EXP 	stim presentation for duration 2.000. feedback duration 2.000
248.3282 	DATA 	Keypress: 2
248.3335 	EXP 	stim select
248.5781 	DATA 	Keypress: equal
249.5780 	DATA 	Keypress: equal
249.6661 	EXP 	Hampton2006: Action=1 State=0 Rewarded=False CorrectCount=7
249.6661 	EXP 	Hampton2006: Reversal
249.6846 	EXP 	feedback
250.5779 	DATA 	Keypress: equal
251.5780 	DATA 	Keypress: equal
251.7021 	EXP 	stim presentation for duration 3.000. feedback duration 2.000
252.1701 	DATA 	Keypress: 2
252.1859 	EXP 	stim select
252.5789 	DATA 	Keypress: equal
253.5781 	DATA 	Keypress: equal
254.5781 	DATA 	Keypress: equal
254.7026 	EXP 	Hampton2006: Action=1 State=1 Rewarded=False CorrectCount=1
254.7200 	EXP 	feedback
255.5774 	DATA 	Keypress: equal
256.5773 	DATA 	Keypress: equal
256.7375 	EXP 	stim presentation for duration 1.000. feedback duration 4.000
257.4211 	DATA 	Keypress: 1
257.4375 	EXP 	stim select
257.5771 	DATA 	Keypress: equal
257.7376 	EXP 	Hampton2006: Action=0 State=1 Rewarded=False CorrectCount=1
257.7546 	EXP 	feedback
258.5771 	DATA 	Keypress: equal
259.5773 	DATA 	Keypress: equal
260.5774 	DATA 	Keypress: equal
261.5772 	DATA 	Keypress: equal
261.7609 	EXP 	stim presentation for duration 3.000. feedback duration 3.000
262.5771 	DATA 	Keypress: equal
263.2674 	DATA 	Keypress: 2
263.2741 	EXP 	stim select
263.5772 	DATA 	Keypress: equal
264.5772 	DATA 	Keypress: equal
264.7613 	EXP 	Hampton2006: Action=1 State=1 Rewarded=True CorrectCount=2
264.7752 	EXP 	feedback
265.5773 	DATA 	Keypress: equal
266.5770 	DATA 	Keypress: equal
267.5772 	DATA 	Keypress: equal
267.7826 	EXP 	stim presentation for duration 1.000. feedback duration 2.000
268.3282 	DATA 	Keypress: 2
268.3321 	EXP 	stim select
